,centroidid,longitude,latitude
404,MW000405,34.3554523398999,-14.0998522699
405,MW000406,33.8072299707,-14.0107036253
406,MW000407,33.7178444091,-14.0116780578999
407,MW000408,33.5069892161,-11.3043524136
408,MW000409,35.1582044282,-14.7325158826
409,MW000410,33.7100580179999,-14.0321999191
410,MW000411,33.7841307763999,-14.011814744
411,MW000412,33.7308480028,-13.957878049
412,MW000413,33.4018094640999,-13.6505329024
413,MW000414,33.5163477823,-14.0317600372
414,MW000415,33.4311428482999,-12.9827385104
415,MW000416,35.7806855525,-15.6220959199
416,MW000417,33.398067296,-13.9815652278
417,MW000418,33.634839493,-13.4326493802
418,MW000419,33.5517922571999,-13.4522734426999
419,MW000420,33.8225561136,-13.9368044552
420,MW000421,35.1628369339999,-15.6564761485999
421,MW000422,33.7096836651999,-13.7649717231
422,MW000423,33.7398748307,-13.9759127134
423,MW000424,34.1373377817999,-14.436986653
424,MW000425,33.6219073331999,-13.0857797272
425,MW000426,33.7690454817999,-13.9395414390999
426,MW000427,35.4381216159999,-15.2510571027
427,MW000428,33.8060007317999,-14.0127888409
428,MW000429,33.6816885279,-13.9738606247
429,MW000430,35.5191845916,-16.0277542673999
430,MW000431,33.6691009947999,-13.6364207271
431,MW000432,35.2179249974999,-16.1875364204
432,MW000433,33.7946531548999,-13.9925001824
433,MW000434,35.15538877,-14.825775533
434,MW000435,35.2052275886999,-15.5407621307999
435,MW000436,33.8398352637,-13.6377934591999
436,MW000437,34.9172434354,-15.0883784559999
437,MW000438,33.0203273806,-9.58261072346999
438,MW000439,33.5598188759,-11.60350842
439,MW000440,35.5503539727,-14.5602614953
440,MW000441,33.8086370775,-13.9889717036
441,MW000442,35.023768142,-13.6781310865
442,MW000443,33.6498664089,-13.2048642306
443,MW000444,33.7134517041999,-13.2538622771
444,MW000445,33.4936015262999,-12.6128368056
445,MW000446,33.7303595404,-14.1489135174
446,MW000447,35.1223285921999,-15.6985124777
447,MW000448,33.5820096611,-11.5033034544999
448,MW000449,33.7276264321,-13.8183373248
449,MW000450,34.0322832089999,-13.6663577265999
450,MW000451,33.8741195336999,-9.80122736232
451,MW000452,34.4254916108,-13.7561256784
452,MW000453,35.3579688554999,-15.2834490699
453,MW000454,33.5898399334,-13.0203383576
454,MW000455,33.7523841873999,-13.896055677
455,MW000456,33.6533066042999,-13.6925674679
456,MW000457,33.7918507163999,-13.8870104609999
457,MW000458,34.1218422717999,-13.9238055612
458,MW000459,34.2672396449,-14.1162531555
459,MW000460,35.2850349926999,-16.8285002898999
460,MW000461,35.1046036979999,-15.792196592
461,MW000462,34.1727778893,-14.2495557257
462,MW000463,34.8410555573,-15.3820575268
463,MW000464,35.2235797534,-15.7596693057999
464,MW000465,32.9406794034999,-13.5241630160999
465,MW000466,33.8442517581,-13.4277625164
466,MW000467,35.1581696658999,-16.1445159471999
467,MW000468,33.791284767,-13.9873385387
468,MW000469,35.0142093101,-15.8203495402
469,MW000470,35.0514162787,-15.7980333544999
470,MW000471,33.7832004947999,-13.5804241803
471,MW000472,33.6853820652,-12.4786275174
472,MW000473,33.7225904872,-14.0124495064999
473,MW000474,34.0059114291,-14.3618602187
474,MW000475,35.0807248528,-15.7805223484
475,MW000476,35.0470332968999,-15.8488457004
476,MW000477,34.5949991482999,-14.2311506936
477,MW000478,33.8706341098,-13.5429462665
478,MW000479,35.4760959592,-14.2538280879
479,MW000480,33.7227292079999,-14.0147901952
480,MW000481,33.4849397918,-12.4989997499999
481,MW000482,33.3745008097999,-11.8309397738
482,MW000483,33.8927604025999,-11.257176906
483,MW000484,33.8096938329,-13.9794726511
484,MW000485,33.798295209,-14.1804295480999
485,MW000486,33.7101409375,-10.3805908537999
486,MW000487,33.7982733686,-13.9875127276
487,MW000488,34.9830505122999,-15.7644175307999
488,MW000489,34.9708645449,-15.6775586284
489,MW000490,35.0954001214999,-15.84412297
490,MW000491,35.0260453592999,-15.7729611088
491,MW000492,34.8628990783,-16.2632931049
492,MW000493,33.2058859937,-13.8091927831
493,MW000494,33.9823940965999,-13.8577691513999
494,MW000495,35.82954671,-14.6571274436
495,MW000496,35.0103508019999,-15.7628555076999
496,MW000497,34.0824872934,-14.2146447335
497,MW000498,33.7973364503,-13.9746030759999
498,MW000499,34.6802544775,-15.0089834223
499,MW000500,35.2610315207,-16.9375991757
